"country","outcome_f","N","Unadjusted","Adjusted"
"Bangladesh","A. lumbricoides","2,796","0.14 (0.07, 0.28)","0.16 (0.09, 0.29)"
"Bangladesh","A. ceylanicum","2,796","1.19 (0.54, 2.64)","1.97 (0.85, 4.59)"
"Bangladesh","N. americanus","2,785","0.26 (0.15, 0.42)","0.54 (0.41, 0.71)"
"Bangladesh","T. trichiura","2,796","0.42 (0.27, 0.67)","1.11 (0.86, 1.42)"
"Bangladesh","Any STH","2,796","0.40 (0.29, 0.55)","0.70 (0.58, 0.86)"
"Bangladesh","G. duodenalis","6,874","0.58 (0.48, 0.71)","0.82 (0.71, 0.96)"
"Kenya","G. duodenalis","8,457","0.77 (0.64, 0.92)","0.79 (0.66, 0.96)"
"Kenya","A. lumbricoides","3,059","0.50 (0.26, 0.95)","0.56 (0.30, 1.05)"
"Kenya","N. americanus","2,961","0.53 (0.18, 1.58)","0.50 (0.15, 1.72)"
"Kenya","T. trichiura","2,983","0.50 (0.02, 10.30)","0.55 (0.03, 10.30)"
"Kenya","Any STH","2,836","0.46 (0.26, 0.83)","0.50 (0.29, 0.85)"
