"Variable","(BD) N, finished","(BD) Results, finished","(BD) N, unfinished","(BD) Results, unfinished","(KE) N, finished","(KE) Results, finished","(KE) N, unfinished","(KE)Results, unfinished"
"Maternal","","","","","","","",""
"Mother's age, years","668","24.2","2122","23.7","464","28.6","8070","27"
"Mother's height, cm","666","151.9","2125","151.5","432","161.8","7779","160.3"
"At least some primary education","670","13.3","2146","15.7","468","51.3","8138","77.7"
"At least some secondary education","670","82.8","2146","80.2","468","48.7","8138","22.3"
"Compound","","","","","","","",""
"# individuals living in compound <=18 yrs","670","1.7","2146","1.7","468","3.5","8136","3.1"
"Total individuals living in compound","670","9.9","2146","10.7","468","7.4","8138","8"
"Household","","","","","","","",""
"Food secure","670","91.5","2146","89.2","468","96.4","8138","91.3"
"Has electricity","670","89.4","2146","83.7","468","28.8","8138","6.7"
"Has improved wall materials","670","91.9","2146","66.5","468","70.3","8138","0.8"
"Has improved roof material","670","100","2146","99.9","468","97.6","8138","66.5"
"Owns >=1 tv","670","70.7","2146","56.4","468","41","8138","11.2"
"Owns >=1 bicycle","670","35.4","2146","41.7","468","64.3","8138","54.5"
"Owns >=1 motorcycle","670","23","2146","11.2","468","24.6","8138","8.6"
"Owns >=1 mobile phone","670","98.5","2146","95.2","468","94.7","8138","81.2"
"Child","","","","","","","",""
"Child age, years","670","4.7","2146","4.7","446","3.7","7846","3.6"
"Male, %","670","49.3","2146","49.1","468","50.9","8138","47.4"
