"country","outcome_f","N_1","results_1","N1Cq","results_1Cq","N_0","results_0","N0Cq","results_0Cq"
"Bangladesh","A. lumbricoides","255","2.0 (0.4, 3.7)","    5","24.8 (22.3, 31.2)","2,544","13.8 (12.0, 15.5)","  350","23.3 (16.4, 36.1)"
"Bangladesh","A. ceylanicum","255","4.3 (1.6, 7.4)","   11","24.1 (16.5, 37.8)","2,544","3.7 (2.9, 4.6)","   95","23.5 (14.4, 37.1)"
"Bangladesh","N. americanus","255","5.1 (2.5, 8.2)","   13","20.2 (13.9, 27.2)","2,544","19.7 (17.7, 21.9)","  502","20.8 (14.0, 35.5)"
"Bangladesh","T. trichiura","255","5.5 (2.9, 8.6)","   14","27.7 (25.2, 36.8)","2,544","12.9 (11.0, 14.9)","  329","27.7 (21.4, 40.0)"
"Bangladesh","Any STH","255","14.5 (9.8, 19.7)","--","--","2,544","36.7 (34.1, 39.4)","--","--"
"Bangladesh","G. duodenalis","661","19.4 (16.1, 22.8)","--","--","6,233","33.2 (31.7, 34.6)","--","--"
"Kenya","A. lumbricoides","174","11.5 (7.0, 17.5)","   20","26.2 (18.5, 33.7)","2,924","23.7 (21.3, 25.9)","  692","24.8 (16.0, 39.6)"
"Kenya","N. americanus","174","3.4 (1.1, 6.5)","    6","28.8 (18.7, 34.8)","2,923","7.2 (5.7, 8.8)","  209","24.5 (11.1, 39.2)"
"Kenya","T. trichiura","174","1.1 (0.0, 3.1)","    2","30.0 (27.3, 32.7)","2,922","1.2 (0.6, 2.0)","   35","28.5 (23.1, 34.6)"
"Kenya","Any STH","173","14.5 (9.3, 20.4)","--","--","2,920","29.2 (26.6, 31.8)","--","--"
"Kenya","G. duodenalis","456","31.4 (27.0, 35.9)","--","--","8,436","39.1 (37.8, 40.4)","--","--"
